filename,fixed_filename,errors,suggestions
NoDashHere.pdf,,Missing ' - ' between authors and title,
springer_authenticated_paper.pdf,,Missing ' - ' between authors and title,
ieee_getpdf_downloaded.pdf,,Missing ' - ' between authors and title,
affiliation-guidelines.pdf,,Missing ' - ' between authors and title,
GuidelinesTrainingData.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
ZNC-1988-43c-0065.pdf,,Missing ' - ' between authors and title,
ZFN-A-054-0304-0272.pdf,,Missing ' - ' between authors and title,
submission_161.pdf,,Missing ' - ' between authors and title,
submission_363.pdf,,Missing ' - ' between authors and title,
test_Grobid_2_05982691.pdf,,Missing ' - ' between authors and title,
two_pages.pdf,,Missing ' - ' between authors and title,
1001._0908.0054.pdf,,Missing ' - ' between authors and title,
MullenJSSv18i03.pdf,,Missing ' - ' between authors and title,
Wang-paperAVE2008.pdf,,Missing ' - ' between authors and title,
ZNC-1988-43c-0034.pdf,,Missing ' - ' between authors and title,
0807.3577.pdf,,Missing ' - ' between authors and title,
submission_355.pdf,,Missing ' - ' between authors and title,
test_Grobid_1_05452615.pdf,,Missing ' - ' between authors and title,
dehypenisation1.pdf,,Missing ' - ' between authors and title,
dehypenisation2.pdf,,Missing ' - ' between authors and title,
samplePdf.segmentation.pdf,,Missing ' - ' between authors and title,
sample-1.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
test.pdf,,Missing ' - ' between authors and title,
gadr.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
compressed.tracemonkey-pldi-09.pdf,,Missing ' - ' between authors and title,
GROBID.pdf,,Missing ' - ' between authors and title,
grobid-04-2015.pdf,,Missing ' - ' between authors and title,
affiliation-guidelines.pdf,,Missing ' - ' between authors and title,
GuidelinesTrainingData.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
ZNC-1988-43c-0065.pdf,,Missing ' - ' between authors and title,
ZFN-A-054-0304-0272.pdf,,Missing ' - ' between authors and title,
submission_161.pdf,,Missing ' - ' between authors and title,
submission_363.pdf,,Missing ' - ' between authors and title,
test_Grobid_2_05982691.pdf,,Missing ' - ' between authors and title,
two_pages.pdf,,Missing ' - ' between authors and title,
1001._0908.0054.pdf,,Missing ' - ' between authors and title,
MullenJSSv18i03.pdf,,Missing ' - ' between authors and title,
Wang-paperAVE2008.pdf,,Missing ' - ' between authors and title,
ZNC-1988-43c-0034.pdf,,Missing ' - ' between authors and title,
0807.3577.pdf,,Missing ' - ' between authors and title,
submission_355.pdf,,Missing ' - ' between authors and title,
test_Grobid_1_05452615.pdf,,Missing ' - ' between authors and title,
dehypenisation1.pdf,,Missing ' - ' between authors and title,
dehypenisation2.pdf,,Missing ' - ' between authors and title,
samplePdf.segmentation.pdf,,Missing ' - ' between authors and title,
sample-1.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
test.pdf,,Missing ' - ' between authors and title,
compressed.tracemonkey-pldi-09.pdf,,Missing ' - ' between authors and title,
gadr.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
sample.pdf,,Missing ' - ' between authors and title,
compressed.tracemonkey-pldi-09.pdf,,Missing ' - ' between authors and title,
GROBID.pdf,,Missing ' - ' between authors and title,
grobid-04-2015.pdf,,Missing ' - ' between authors and title,
test.pdf,,Missing ' - ' between authors and title,
